w,flux
19958.228413776495,1130911.0648274648
19960.870495885145,991985.5072257258
19963.512577993795,1130273.417507025
19966.1569338392,1091048.335391495
19968.79901594785,1073920.3516803957
19971.4410980565,1027173.6710866501
19974.085453901906,954094.7334409752
19976.727536010556,820347.9414956742
19979.37189185596,872850.9691631343
19982.01397396461,980458.3252971323
19984.65605607326,1103731.8378440673
19987.300411918666,1041200.8172448017
19989.942494027317,1117387.3312177914
19992.584576135967,1058616.8226909235
19995.22893198137,1093443.532941048
19997.871014090022,958429.6693565284
20000.513096198672,1011922.1038506351
20003.157452044077,1020319.8623954698
20005.799534152728,950877.0321007839
20008.441616261378,967166.8137432629
20011.085972106783,1023278.7877410688
20013.728054215433,740216.795477758
20016.372410060838,727521.7273664514
20019.01449216949,788277.577575586
20021.65657427814,820167.1738480035
20024.300930123543,950779.0741739864
20026.943012232194,1000935.5828366205
20029.585094340844,571756.3548296134
20032.22945018625,883445.7337123182
20034.8715322949,962082.1887794595
20037.51361440355,926670.8671524451
20040.157970248954,896469.9194618497
20042.800052357605,924807.4801327487
20045.44440820301,945174.6398249745
20048.08649031166,962814.8912827857
20050.72857242031,976754.8856642762
20053.372928265715,981725.3246924655
20056.015010374365,804168.0070676743
20058.657092483016,797366.5808552051
20061.30144832842,831837.0223723069
20063.94353043707,901714.6916345846
20066.58561254572,977571.3640519922
20069.229968391126,1037599.7444323365
20071.872050499776,1020407.688236402
20074.514132608427,918717.4783770136
20077.15848845383,1017891.718427204
20079.800570562482,940478.3786324793
20082.444926407887,1038807.2922811003
20085.087008516537,1042590.677451937
20087.729090625187,1086998.0752613035
20090.373446470592,1069844.10286705
20093.015528579243,991412.1836191564
20095.657610687893,1023870.3927322712
20098.301966533298,859045.0326708367
20100.944048641948,1048452.1932599213
20103.5861307506,782135.3811789097
20106.230486596003,977475.7071210075
20108.872568704654,933289.8101385948
20111.51692455006,1012057.2386544904
20114.15900665871,998045.393456356
20116.80108876736,989227.1757365086
20119.445444612764,971262.4699836943
20122.087526721414,1002550.5462122547
20124.729608830065,840577.7708612557
20127.37396467547,1009839.0015366211
20130.01604678412,991405.766746282
20132.65812889277,931116.2819965226
20135.302484738175,936553.0876384728
20137.944566846825,1023318.0316346572
20140.586648955476,1007818.0027142507
20143.23100480088,1007131.7406524036
20145.87308690953,1029051.9343933604
20148.517442754935,1010030.5473553909
20151.159524863586,931141.7551633676
20153.801606972236,1076261.7340726196
20156.44596281764,1005353.1370415718
20159.08804492629,975325.6904667945
